date,sku,region,units_sold,weather,event,buzz_score
2023-01-08,SKU_B,East,94,cold,concert,32
2023-01-08,SKU_C,East,63,sunny,none,14
2023-01-08,SKU_A,West,59,rainy,concert,62
2023-01-08,SKU_B,West,41,sunny,none,62
2023-01-08,SKU_C,West,37,rainy,none,22
2023-01-09,SKU_A,North,59,rainy,concert,85
2023-01-09,SKU_B,North,82,hot,none,87
2023-01-09,SKU_C,North,82,rainy,sports,65
2023-01-09,SKU_A,South,61,hot,none,48
2023-01-09,SKU_B,South,40,sunny,none,14
2023-01-09,SKU_C,South,83,hot,concert,55
2023-01-09,SKU_A,East,40,rainy,concert,4
2023-01-09,SKU_B,East,89,cold,sports,32
2023-01-09,SKU_C,East,74,hot,none,79
2023-01-09,SKU_A,West,62,hot,none,84
2023-01-09,SKU_B,West,55,cold,sports,35
2023-01-09,SKU_C,West,54,hot,concert,10
2023-01-10,SKU_A,North,57,cold,concert,99
2023-01-10,SKU_B,North,91,rainy,concert,81
2023-01-10,SKU_C,North,73,rainy,none,5
2023-01-10,SKU_A,South,51,sunny,sports,0
2023-01-10,SKU_B,South,24,rainy,none,35
2023-01-10,SKU_C,South,54,sunny,none,25
2023-01-10,SKU_A,East,90,rainy,concert,33
2023-01-10,SKU_B,East,76,hot,none,79
2023-01-10,SKU_C,East,26,cold,none,16
2023-01-10,SKU_A,West,49,cold,concert,14
2023-01-10,SKU_B,West,54,sunny,sports,11
2023-01-10,SKU_C,West,75,cold,concert,5
2023-01-11,SKU_A,North,71,hot,concert,76
2023-01-11,SKU_B,North,63,cold,none,35
2023-01-11,SKU_C,North,50,cold,none,74
2023-01-11,SKU_A,South,67,sunny,sports,67
2023-01-11,SKU_B,South,78,rainy,none,47
2023-01-11,SKU_C,South,49,rainy,sports,43
2023-01-11,SKU_A,East,70,sunny,concert,19
2023-01-11,SKU_B,East,114,cold,sports,58
2023-01-11,SKU_C,East,46,cold,concert,73
2023-01-11,SKU_A,West,77,hot,none,36
2023-01-11,SKU_B,West,77,hot,concert,98
2023-01-11,SKU_C,West,92,cold,concert,27
2023-01-12,SKU_A,North,40,rainy,concert,41
2023-01-12,SKU_B,North,32,hot,none,46
2023-01-12,SKU_C,North,57,hot,none,17
2023-01-12,SKU_A,South,65,cold,none,21
2023-01-12,SKU_B,South,96,hot,concert,82
2023-01-12,SKU_C,South,54,cold,none,45
2023-01-12,SKU_A,East,83,cold,none,97
2023-01-12,SKU_B,East,89,hot,sports,89
2023-01-12,SKU_C,East,44,hot,sports,60
2023-01-12,SKU_A,West,47,rainy,none,94
2023-01-12,SKU_B,West,39,hot,sports,30
2023-01-12,SKU_C,West,82,rainy,concert,74
2023-01-13,SKU_A,North,93,rainy,concert,14
2023-01-13,SKU_B,North,57,rainy,concert,20
2023-01-13,SKU_C,North,24,rainy,none,50
2023-01-13,SKU_A,South,62,sunny,sports,61
2023-01-13,SKU_B,South,123,cold,sports,74
2023-01-13,SKU_C,South,99,hot,concert,67
2023-01-13,SKU_A,East,79,sunny,none,10
2023-01-13,SKU_B,East,47,sunny,sports,83
2023-01-13,SKU_C,East,37,sunny,none,74
2023-01-13,SKU_A,West,40,rainy,none,53
2023-01-13,SKU_B,West,107,cold,none,62
2023-01-13,SKU_C,West,95,rainy,sports,99
2023-01-14,SKU_A,North,65,rainy,concert,48
2023-01-14,SKU_B,North,60,hot,concert,40
2023-01-14,SKU_C,North,79,hot,sports,25
2023-01-14,SKU_A,South,69,hot,none,73
2023-01-14,SKU_B,South,79,rainy,sports,0
2023-01-14,SKU_C,South,60,cold,sports,75
2023-01-14,SKU_A,East,86,sunny,sports,3
2023-01-14,SKU_B,East,73,cold,none,27
2023-01-14,SKU_C,East,95,sunny,concert,87
2023-01-14,SKU_A,West,68,sunny,concert,22
2023-01-14,SKU_B,West,54,hot,concert,23
2023-01-14,SKU_C,West,37,hot,none,80
2023-01-15,SKU_A,North,56,rainy,concert,6
2023-01-15,SKU_B,North,53,hot,concert,32
2023-01-15,SKU_C,North,73,cold,none,45
2023-01-15,SKU_A,South,72,hot,concert,97
2023-01-15,SKU_B,South,101,cold,sports,56
2023-01-15,SKU_C,South,66,hot,concert,64
2023-01-15,SKU_A,East,102,hot,concert,91
2023-01-15,SKU_B,East,89,rainy,concert,42
2023-01-15,SKU_C,East,66,hot,concert,61
2023-01-15,SKU_A,West,88,rainy,concert,67
2023-01-15,SKU_B,West,54,sunny,concert,1
2023-01-15,SKU_C,West,63,rainy,sports,57
2023-01-16,SKU_A,North,49,hot,sports,92
2023-01-16,SKU_B,North,75,cold,none,49
2023-01-16,SKU_C,North,66,sunny,concert,51
2023-01-16,SKU_A,South,55,rainy,none,94
2023-01-16,SKU_B,South,102,cold,none,75
2023-01-16,SKU_C,South,41,sunny,none,2
2023-01-16,SKU_A,East,36,hot,sports,51
2023-01-16,SKU_B,East,72,cold,sports,69
2023-01-16,SKU_C,East,40,rainy,none,14
2023-01-16,SKU_A,West,76,rainy,concert,32
2023-01-16,SKU_B,West,37,rainy,none,31
2023-01-16,SKU_C,West,66,cold,concert,66
2023-01-17,SKU_A,North,20,hot,none,42
2023-01-17,SKU_B,North,113,cold,concert,1
2023-01-17,SKU_C,North,71,sunny,concert,66
2023-01-17,SKU_A,South,55,hot,sports,0
2023-01-17,SKU_B,South,28,sunny,none,23
2023-01-17,SKU_C,South,22,sunny,none,3
2023-01-17,SKU_A,East,64,sunny,sports,27
2023-01-17,SKU_B,East,59,rainy,sports,52
2023-01-17,SKU_C,East,79,cold,none,30
2023-01-17,SKU_A,West,74,sunny,sports,46
2023-01-17,SKU_B,West,83,hot,concert,15
2023-01-17,SKU_C,West,50,rainy,none,74
2023-01-18,SKU_A,North,68,sunny,sports,63
2023-01-18,SKU_B,North,102,cold,sports,64
2023-01-18,SKU_C,North,88,cold,concert,18
2023-01-18,SKU_A,South,67,hot,none,75
2023-01-18,SKU_B,South,41,hot,none,10
2023-01-18,SKU_C,South,32,hot,none,37
2023-01-18,SKU_A,East,59,rainy,none,93
2023-01-18,SKU_B,East,67,cold,none,43
2023-01-18,SKU_C,East,80,rainy,concert,76
2023-01-18,SKU_A,West,61,sunny,concert,51
2023-01-18,SKU_B,West,84,sunny,sports,61
2023-01-18,SKU_C,West,36,cold,none,33
2023-01-19,SKU_A,North,81,cold,none,73
2023-01-19,SKU_B,North,86,hot,concert,37
2023-01-19,SKU_C,North,52,cold,none,96
2023-01-19,SKU_A,South,32,rainy,none,1
2023-01-19,SKU_B,South,91,cold,sports,56
2023-01-19,SKU_C,South,60,rainy,sports,95
2023-01-19,SKU_A,East,89,sunny,concert,99
2023-01-19,SKU_B,East,54,rainy,sports,50
2023-01-19,SKU_C,East,71,sunny,none,32
2023-01-19,SKU_A,West,63,hot,sports,47
2023-01-19,SKU_B,West,56,hot,sports,79
2023-01-19,SKU_C,West,56,hot,concert,41
2023-01-20,SKU_A,North,49,cold,none,11
2023-01-20,SKU_B,North,56,hot,none,64
2023-01-20,SKU_C,North,67,cold,sports,93
2023-01-20,SKU_A,South,78,hot,sports,76
2023-01-20,SKU_B,South,75,hot,concert,69
2023-01-20,SKU_C,South,47,cold,none,1
2023-01-20,SKU_A,East,44,cold,concert,37
2023-01-20,SKU_B,East,68,hot,concert,52
2023-01-20,SKU_C,East,82,rainy,concert,99
2023-01-20,SKU_A,West,55,sunny,none,60
2023-01-20,SKU_B,West,74,rainy,sports,85
2023-01-20,SKU_C,West,57,cold,none,66
2023-01-21,SKU_A,North,54,hot,sports,24
2023-01-21,SKU_B,North,71,hot,sports,45
2023-01-21,SKU_C,North,66,rainy,sports,77
2023-01-21,SKU_A,South,82,hot,concert,16
2023-01-21,SKU_B,South,123,cold,sports,71
2023-01-21,SKU_C,South,91,sunny,sports,67
2023-01-21,SKU_A,East,36,rainy,none,71
2023-01-21,SKU_B,East,51,rainy,sports,80
2023-01-21,SKU_C,East,48,rainy,sports,67
2023-01-21,SKU_A,West,57,cold,sports,50
2023-01-21,SKU_B,West,73,hot,concert,32
2023-01-21,SKU_C,West,77,sunny,concert,67
2023-01-22,SKU_A,North,87,rainy,concert,99
2023-01-22,SKU_B,North,88,cold,sports,26
2023-01-22,SKU_C,North,53,sunny,sports,28
2023-01-22,SKU_A,South,26,cold,none,38
2023-01-22,SKU_B,South,105,cold,sports,82
2023-01-22,SKU_C,South,69,hot,none,49
2023-01-22,SKU_A,East,46,rainy,sports,55
2023-01-22,SKU_B,East,90,hot,concert,44
2023-01-22,SKU_C,East,59,cold,none,97
2023-01-22,SKU_A,West,90,rainy,concert,34
2023-01-22,SKU_B,West,52,hot,concert,95
2023-01-22,SKU_C,West,66,sunny,concert,81
2023-01-23,SKU_A,North,103,rainy,sports,87
2023-01-23,SKU_B,North,50,hot,none,91
2023-01-23,SKU_C,North,54,cold,concert,95
2023-01-23,SKU_A,South,47,hot,sports,17
2023-01-23,SKU_B,South,97,hot,sports,77
2023-01-23,SKU_C,South,85,sunny,sports,11
2023-01-23,SKU_A,East,50,cold,concert,30
2023-01-23,SKU_B,East,90,hot,sports,47
2023-01-23,SKU_C,East,77,rainy,none,20
2023-01-23,SKU_A,West,64,rainy,none,92
2023-01-23,SKU_B,West,45,sunny,concert,61
2023-01-23,SKU_C,West,100,cold,sports,91
2023-01-24,SKU_A,North,63,rainy,none,14
2023-01-24,SKU_B,North,61,sunny,concert,97
2023-01-24,SKU_C,North,94,hot,concert,69
2023-01-24,SKU_A,South,76,cold,concert,40
2023-01-24,SKU_B,South,82,hot,sports,44
2023-01-24,SKU_C,South,54,hot,none,98
2023-01-24,SKU_A,East,57,cold,sports,1
2023-01-24,SKU_B,East,50,hot,sports,40
2023-01-24,SKU_C,East,89,rainy,sports,79
2023-01-24,SKU_A,West,56,sunny,sports,13
2023-01-24,SKU_B,West,100,sunny,concert,69
2023-01-24,SKU_C,West,70,hot,sports,1
2023-01-25,SKU_A,North,64,rainy,sports,28
2023-01-25,SKU_B,North,62,cold,sports,51
2023-01-25,SKU_C,North,62,rainy,sports,61
2023-01-25,SKU_A,South,90,hot,concert,47
2023-01-25,SKU_B,South,69,rainy,concert,76
2023-01-25,SKU_C,South,91,hot,concert,88
2023-01-25,SKU_A,East,72,rainy,none,17
2023-01-25,SKU_B,East,56,sunny,none,53
2023-01-25,SKU_C,East,35,sunny,sports,27
2023-01-25,SKU_A,West,74,sunny,none,27
2023-01-25,SKU_B,West,39,hot,none,25
2023-01-25,SKU_C,West,80,sunny,none,84
2023-01-26,SKU_A,North,91,sunny,concert,6
2023-01-26,SKU_B,North,100,cold,sports,3
2023-01-26,SKU_C,North,86,rainy,sports,35
2023-01-26,SKU_A,South,57,sunny,sports,40
2023-01-26,SKU_B,South,79,rainy,concert,30
2023-01-26,SKU_C,South,84,hot,concert,55
2023-01-26,SKU_A,East,70,hot,sports,19
2023-01-26,SKU_B,East,114,cold,concert,55
2023-01-26,SKU_C,East,63,cold,none,63
2023-01-26,SKU_A,West,62,hot,sports,54
2023-01-26,SKU_B,West,45,sunny,none,74
2023-01-26,SKU_C,West,68,hot,sports,59
2023-01-27,SKU_A,North,27,sunny,none,0
2023-01-27,SKU_B,North,20,rainy,none,40
2023-01-27,SKU_C,North,83,rainy,sports,55
2023-01-27,SKU_A,South,87,cold,sports,91
2023-01-27,SKU_B,South,67,rainy,sports,75
2023-01-27,SKU_C,South,39,rainy,none,71
2023-01-27,SKU_A,East,72,cold,sports,93
2023-01-27,SKU_B,East,72,cold,concert,65
2023-01-27,SKU_C,East,80,cold,none,72
2023-01-27,SKU_A,West,46,rainy,concert,77
2023-01-27,SKU_B,West,48,rainy,sports,76
2023-01-27,SKU_C,West,81,cold,sports,19
2023-01-28,SKU_A,North,36,hot,none,76
2023-01-28,SKU_B,North,40,sunny,concert,55
2023-01-28,SKU_C,North,42,cold,sports,59
2023-01-28,SKU_A,South,89,cold,none,85
2023-01-28,SKU_B,South,81,cold,concert,62
2023-01-28,SKU_C,South,88,rainy,concert,81
2023-01-28,SKU_A,East,48,hot,none,92
2023-01-28,SKU_B,East,63,sunny,none,90
2023-01-28,SKU_C,East,81,hot,concert,2
2023-01-28,SKU_A,West,83,sunny,sports,10
2023-01-28,SKU_B,West,33,sunny,none,91
2023-01-28,SKU_C,West,39,sunny,none,73
2023-01-29,SKU_A,North,96,hot,sports,94
2023-01-29,SKU_B,North,51,rainy,none,28
2023-01-29,SKU_C,North,38,rainy,concert,3
2023-01-29,SKU_A,South,38,rainy,none,55
2023-01-29,SKU_B,South,53,cold,none,23
2023-01-29,SKU_C,South,61,hot,concert,8
2023-01-29,SKU_A,East,45,cold,sports,12
2023-01-29,SKU_B,East,55,cold,sports,34
2023-01-29,SKU_C,East,41,cold,sports,51
2023-01-29,SKU_A,West,94,rainy,concert,37
2023-01-29,SKU_B,West,76,sunny,none,61
2023-01-29,SKU_C,West,78,sunny,sports,51
2023-01-30,SKU_A,North,51,sunny,sports,53
2023-01-30,SKU_B,North,60,hot,sports,55
2023-01-30,SKU_C,North,92,cold,sports,30
2023-01-30,SKU_A,South,63,sunny,concert,19
2023-01-30,SKU_B,South,28,sunny,none,53
2023-01-30,SKU_C,South,56,hot,sports,17
2023-01-30,SKU_A,East,24,rainy,none,12
2023-01-30,SKU_B,East,25,sunny,none,40
2023-01-30,SKU_C,East,58,sunny,none,27
2023-01-30,SKU_A,West,54,cold,concert,33
2023-01-30,SKU_B,West,50,hot,none,97
2023-01-30,SKU_C,West,64,hot,none,16
2023-01-31,SKU_A,North,79,hot,sports,17
2023-01-31,SKU_B,North,110,cold,sports,68
2023-01-31,SKU_C,North,90,hot,sports,95
2023-01-31,SKU_A,South,56,sunny,concert,9
2023-01-31,SKU_B,South,63,hot,concert,57
2023-01-31,SKU_C,South,79,sunny,concert,86
2023-01-31,SKU_A,East,58,sunny,sports,37
2023-01-31,SKU_B,East,60,sunny,concert,76
2023-01-31,SKU_C,East,70,rainy,sports,45
2023-01-31,SKU_A,West,93,hot,sports,73
2023-01-31,SKU_B,West,81,rainy,concert,15
2023-01-31,SKU_C,West,71,sunny,none,71
2023-02-01,SKU_A,North,49,cold,none,88
2023-02-01,SKU_B,North,60,cold,none,60
2023-02-01,SKU_C,North,60,sunny,concert,69
2023-02-01,SKU_A,South,50,hot,none,16
2023-02-01,SKU_B,South,32,rainy,none,9
2023-02-01,SKU_C,South,50,cold,none,21
2023-02-01,SKU_A,East,59,cold,concert,72
2023-02-01,SKU_B,East,42,rainy,concert,9
2023-02-01,SKU_C,East,48,cold,concert,63
2023-02-01,SKU_A,West,52,rainy,sports,86
2023-02-01,SKU_B,West,87,hot,concert,0
2023-02-01,SKU_C,West,49,sunny,concert,43
2023-02-02,SKU_A,North,55,cold,sports,88
2023-02-02,SKU_B,North,58,rainy,sports,19
2023-02-02,SKU_C,North,58,rainy,concert,15
2023-02-02,SKU_A,South,65,hot,sports,34
2023-02-02,SKU_B,South,66,rainy,none,32
2023-02-02,SKU_C,South,20,hot,none,12
2023-02-02,SKU_A,East,38,hot,none,50
2023-02-02,SKU_B,East,63,sunny,concert,92
2023-02-02,SKU_C,East,49,hot,sports,72
2023-02-02,SKU_A,West,89,sunny,concert,74
2023-02-02,SKU_B,West,92,hot,sports,73
2023-02-02,SKU_C,West,94,cold,concert,32
2023-02-03,SKU_A,North,64,hot,concert,65
2023-02-03,SKU_B,North,92,hot,sports,5
2023-02-03,SKU_C,North,57,hot,sports,58
2023-02-03,SKU_A,South,76,rainy,none,10
2023-02-03,SKU_B,South,40,sunny,sports,40
2023-02-03,SKU_C,South,68,hot,sports,67
2023-02-03,SKU_A,East,94,sunny,sports,4
2023-02-03,SKU_B,East,44,sunny,concert,24
2023-02-03,SKU_C,East,72,hot,concert,4
2023-02-03,SKU_A,West,64,hot,sports,92
2023-02-03,SKU_B,West,97,sunny,sports,87
2023-02-03,SKU_C,West,50,cold,concert,10
2023-02-04,SKU_A,North,20,rainy,none,41
2023-02-04,SKU_B,North,53,hot,sports,80
2023-02-04,SKU_C,North,104,hot,concert,76
2023-02-04,SKU_A,South,48,hot,none,56
2023-02-04,SKU_B,South,47,hot,none,90
2023-02-04,SKU_C,South,41,cold,none,25
2023-02-04,SKU_A,East,42,rainy,sports,31
2023-02-04,SKU_B,East,66,cold,concert,87
2023-02-04,SKU_C,East,57,hot,sports,77
2023-02-04,SKU_A,West,75,sunny,none,4
2023-02-04,SKU_B,West,58,rainy,none,75
2023-02-04,SKU_C,West,46,rainy,concert,65
2023-02-05,SKU_A,North,36,sunny,none,85
2023-02-05,SKU_B,North,37,rainy,sports,27
2023-02-05,SKU_C,North,61,hot,none,80
2023-02-05,SKU_A,South,69,hot,sports,92
2023-02-05,SKU_B,South,42,rainy,none,22
2023-02-05,SKU_C,South,64,cold,sports,42
2023-02-05,SKU_A,East,70,rainy,sports,39
2023-02-05,SKU_B,East,92,sunny,sports,35
2023-02-05,SKU_C,East,57,hot,none,71
2023-02-05,SKU_A,West,27,cold,none,25
2023-02-05,SKU_B,West,55,cold,concert,21
2023-02-05,SKU_C,West,48,rainy,none,45
2023-02-06,SKU_A,North,48,hot,concert,77
2023-02-06,SKU_B,North,68,sunny,sports,75
2023-02-06,SKU_C,North,94,hot,sports,68
2023-02-06,SKU_A,South,79,hot,sports,96
2023-02-06,SKU_B,South,86,cold,none,25
2023-02-06,SKU_C,South,67,sunny,sports,54
2023-02-06,SKU_A,East,69,rainy,none,60
2023-02-06,SKU_B,East,72,rainy,sports,77
2023-02-06,SKU_C,East,82,rainy,concert,95
2023-02-06,SKU_A,West,67,sunny,none,85
2023-02-06,SKU_B,West,94,cold,concert,98
2023-02-06,SKU_C,West,90,hot,sports,9
2023-02-07,SKU_A,North,77,sunny,sports,93
2023-02-07,SKU_B,North,74,hot,none,55
2023-02-07,SKU_C,North,64,cold,sports,1
2023-02-07,SKU_A,South,88,sunny,sports,51
2023-02-07,SKU_B,South,65,rainy,none,94
2023-02-07,SKU_C,South,83,rainy,concert,3
2023-02-07,SKU_A,East,54,sunny,concert,77
2023-02-07,SKU_B,East,77,hot,sports,82
2023-02-07,SKU_C,East,77,rainy,sports,47
2023-02-07,SKU_A,West,67,sunny,none,53
2023-02-07,SKU_B,West,90,rainy,concert,30
2023-02-07,SKU_C,West,96,hot,concert,74
2023-02-08,SKU_A,North,40,cold,none,49
2023-02-08,SKU_B,North,93,cold,sports,19
2023-02-08,SKU_C,North,94,sunny,sports,67
2023-02-08,SKU_A,South,39,hot,sports,3
2023-02-08,SKU_B,South,86,sunny,concert,24
2023-02-08,SKU_C,South,79,sunny,sports,94
2023-02-08,SKU_A,East,73,sunny,sports,13
2023-02-08,SKU_B,East,86,hot,none,68
2023-02-08,SKU_C,East,87,rainy,concert,36
2023-02-08,SKU_A,West,89,sunny,none,78
2023-02-08,SKU_B,West,88,rainy,concert,94
2023-02-08,SKU_C,West,86,sunny,concert,74
2023-02-09,SKU_A,North,63,cold,concert,28
2023-02-09,SKU_B,North,35,hot,sports,27
2023-02-09,SKU_C,North,77,sunny,sports,51
2023-02-09,SKU_A,South,39,cold,sports,12
2023-02-09,SKU_B,South,42,hot,none,38
2023-02-09,SKU_C,South,97,rainy,concert,92
2023-02-09,SKU_A,East,40,hot,none,45
2023-02-09,SKU_B,East,77,sunny,none,52
2023-02-09,SKU_C,East,57,cold,none,78
2023-02-09,SKU_A,West,65,sunny,sports,55
2023-02-09,SKU_B,West,85,sunny,concert,9
2023-02-09,SKU_C,West,42,rainy,concert,19
2023-02-10,SKU_A,North,47,hot,concert,29
2023-02-10,SKU_B,North,55,rainy,sports,3
2023-02-10,SKU_C,North,59,rainy,none,71
2023-02-10,SKU_A,South,53,rainy,sports,58
2023-02-10,SKU_B,South,82,cold,concert,6
2023-02-10,SKU_C,South,57,hot,none,49
2023-02-10,SKU_A,East,101,hot,sports,71
2023-02-10,SKU_B,East,93,rainy,sports,65
2023-02-10,SKU_C,East,40,hot,sports,37
2023-02-10,SKU_A,West,77,hot,concert,47
2023-02-10,SKU_B,West,76,cold,sports,73
2023-02-10,SKU_C,West,83,rainy,concert,58
2023-02-11,SKU_A,North,96,hot,sports,88
2023-02-11,SKU_B,North,74,hot,concert,72
2023-02-11,SKU_C,North,88,hot,sports,68
2023-02-11,SKU_A,South,53,sunny,none,74
2023-02-11,SKU_B,South,74,hot,concert,90
2023-02-11,SKU_C,South,34,hot,none,96
2023-02-11,SKU_A,East,58,sunny,none,50
2023-02-11,SKU_B,East,62,cold,concert,43
2023-02-11,SKU_C,East,37,rainy,none,99
2023-02-11,SKU_A,West,56,rainy,sports,62
2023-02-11,SKU_B,West,61,hot,none,61
2023-02-11,SKU_C,West,67,sunny,sports,69
2023-02-12,SKU_A,North,98,cold,sports,79
2023-02-12,SKU_B,North,102,sunny,concert,91
2023-02-12,SKU_C,North,75,cold,concert,0
2023-02-12,SKU_A,South,99,cold,concert,81
2023-02-12,SKU_B,South,78,cold,none,15
2023-02-12,SKU_C,South,57,hot,concert,83
2023-02-12,SKU_A,East,68,rainy,concert,91
2023-02-12,SKU_B,East,120,cold,concert,71
2023-02-12,SKU_C,East,40,hot,none,81
2023-02-12,SKU_A,West,59,hot,concert,15
2023-02-12,SKU_B,West,77,sunny,sports,63
2023-02-12,SKU_C,West,65,rainy,sports,44
2023-02-13,SKU_A,North,99,cold,sports,64
2023-02-13,SKU_B,North,96,hot,sports,87
2023-02-13,SKU_C,North,91,cold,concert,78
2023-02-13,SKU_A,South,85,sunny,sports,71
2023-02-13,SKU_B,South,60,hot,concert,48
2023-02-13,SKU_C,South,65,hot,none,18
2023-02-13,SKU_A,East,65,hot,concert,60
2023-02-13,SKU_B,East,80,rainy,concert,69
2023-02-13,SKU_C,East,67,rainy,concert,72
2023-02-13,SKU_A,West,50,sunny,none,62
2023-02-13,SKU_B,West,66,hot,none,0
2023-02-13,SKU_C,West,41,sunny,sports,54
2023-02-14,SKU_A,North,52,hot,concert,54
2023-02-14,SKU_B,North,80,rainy,concert,30
2023-02-14,SKU_C,North,80,cold,concert,60
2023-02-14,SKU_A,South,45,hot,sports,16
2023-02-14,SKU_B,South,91,sunny,concert,37
2023-02-14,SKU_C,South,49,rainy,sports,2
2023-02-14,SKU_A,East,46,cold,none,45
2023-02-14,SKU_B,East,69,rainy,none,15
2023-02-14,SKU_C,East,60,sunny,sports,47
2023-02-14,SKU_A,West,87,sunny,concert,6
2023-02-14,SKU_B,West,95,sunny,sports,88
2023-02-14,SKU_C,West,73,hot,concert,90
2023-02-15,SKU_A,North,61,hot,concert,28
2023-02-15,SKU_B,North,71,cold,none,4
2023-02-15,SKU_C,North,37,sunny,none,49
2023-02-15,SKU_A,South,59,cold,sports,99
2023-02-15,SKU_B,South,85,cold,none,54
2023-02-15,SKU_C,South,69,cold,none,42
2023-02-15,SKU_A,East,48,hot,none,23
2023-02-15,SKU_B,East,99,rainy,concert,68
2023-02-15,SKU_C,East,35,sunny,concert,57
2023-02-15,SKU_A,West,38,rainy,concert,48
2023-02-15,SKU_B,West,67,hot,sports,93
2023-02-15,SKU_C,West,55,hot,none,42
2023-02-16,SKU_A,North,52,sunny,sports,38
2023-02-16,SKU_B,North,21,sunny,none,21
